eval/episode_reward,eval/episode_reward/agent1__cap1___dist,eval/episode_reward/agent2__cap1___dist,eval/episode_reward/cap1___goal,eval/episode_score,eval/episode_score/agent1__cap1___dist,eval/episode_score/agent2__cap1___dist,eval/episode_score/cap1___goal,eval/total_episodes,losses/entropy_loss,losses/policy_loss,losses/total_loss,losses/value_loss,num_steps,speed/eval_sps,speed/eval_walltime,speed/sps,speed/timestamp,speed/training_walltime
-2271.4656,-173.32288,-158.89539,-1939.2477,-16816.91,-5021.8105,-5007.379,-6787.7324,132.0,-0.102528945,-3.015528,2545.4385,2548.5566,1474560,44850.93644873617,24.501981735229492,49287.953,29.9574773311615,29.9574773311615
-1572.7587,258.006,43.29611,-1874.0592,-15690.3955,-4447.879,-4662.586,-6579.941,136.0,-0.09895637,-1.0164225,2465.2559,2466.3713,2949120,45082.72797107831,27.34119701385498,411104.2,33.54930806159973,33.54930806159973
-1670.2563,241.05612,-52.24769,-1859.0624,-15998.609,-4535.06,-4828.364,-6635.1855,134.0,-0.09318972,-0.9446091,1961.8296,1962.8673,4423680,45253.90400342158,30.169673919677734,411911.28,37.13644027709961,37.13644027709961
-544.7248,433.51425,756.48926,-1734.7275,-13971.307,-4042.011,-3719.0344,-6210.252,143.0,-0.08580112,-0.95693177,1684.5205,1685.5632,5898240,45243.160993815785,32.99882364273071,413084.75,40.712061405181885,40.712061405181885
18.64596,1085.4718,802.24786,-1869.0725,-14309.711,-3690.6458,-3973.8726,-6645.196,134.0,-0.07670492,-0.8424982,1596.627,1597.5463,7372800,44834.21648191419,35.85377740859985,411033.12,44.306236267089844,44.306236267089844
321.84836,1139.8046,1150.4729,-1968.427,-14561.863,-3821.435,-3810.77,-6929.664,129.0,-0.068392366,-0.74702406,1373.3635,1374.1791,8847360,44743.89603185398,38.714494705200195,412250.94,47.88699650764465,47.88699650764465
1056.0514,1377.0425,1657.0992,-1978.0896,-13943.952,-3622.961,-3342.9006,-6978.0947,128.0,-0.0595181,-0.6910397,1128.7325,1129.483,10321920,44834.6058733593,41.56942296028137,411223.94,51.477482080459595,51.477482080459595
1513.2343,1620.27,1853.5118,-1960.5487,-13370.49,-3340.972,-3107.7278,-6921.787,129.0,-0.048996925,-0.5883266,945.99243,946.6298,11796480,44880.87548949263,44.42140793800354,412351.12,55.06399893760681,55.06399893760681
2507.901,2013.2457,2407.7693,-1913.1088,-12261.323,-2909.831,-2515.3066,-6836.184,130.0,-0.037609987,-0.52708477,760.6783,761.243,13271040,45469.031997484286,47.23650336265564,412434.8,58.64275074005127,58.64275074005127
2894.5315,2317.7463,2539.4429,-1962.6561,-12105.445,-2682.255,-2460.557,-6962.6523,128.0,-0.026889963,-0.4816321,660.79126,661.2998,14745600,44676.68413970005,50.10152268409729,411343.72,62.23773789405823,62.23773789405823
3392.7131,2518.6995,2798.6125,-1924.597,-11491.003,-2442.5403,-2162.628,-6885.8364,129.0,-0.017138205,-0.35798976,638.185,638.5602,16220160,44899.99212179471,52.952293395996094,411391.72,65.82735562324524,65.82735562324524
3724.3262,2671.0818,2977.0713,-1923.8289,-11275.68,-2328.9172,-2022.9291,-6923.8335,128.0,-0.0071216063,-0.40353134,493.4452,493.85583,17694720,45447.17328492596,55.76874279975891,412217.4,69.40868473052979,69.40868473052979
3660.8015,2624.4023,2937.5015,-1901.097,-11339.194,-2375.6,-2062.502,-6901.0986,128.0,0.002441152,-0.35964382,482.14465,482.50186,19169280,44904.13814596166,58.61924934387207,411248.97,73.00079202651978,73.00079202651978
3755.439,2698.046,2919.5173,-1862.1223,-11128.276,-2263.1929,-2041.722,-6823.3643,129.0,0.007925939,-0.35536623,519.45264,519.8001,20643840,45012.906131645024,61.46286177635193,412437.4,76.58018898963928,76.58018898963928
3754.8982,2699.0051,2891.0234,-1835.1273,-11245.096,-2300.994,-2108.979,-6835.1323,128.0,0.014628109,-0.35163265,543.3168,543.6538,22118400,44944.8541381351,64.310786485672,413763.72,80.14968729019165,80.14968729019165
3778.974,2614.6335,2975.9153,-1811.5735,-11221.035,-2385.3672,-2024.0867,-6811.577,128.0,0.019918825,-0.2985024,619.0442,619.32275,23592960,44922.075514008684,67.16015648841858,412817.97,83.7275493144989,83.7275493144989
3937.486,2720.5269,3009.526,-1792.5652,-11062.514,-2279.4712,-1990.474,-6792.563,128.0,0.026637591,-0.33825943,610.2223,610.53394,25067520,44913.90911639456,70.01004314422607,411927.84,87.31906151771545,87.31906151771545
3755.6252,2615.9297,2899.9958,-1760.3019,-11128.09,-2345.3125,-2061.2422,-6721.5405,129.0,0.03074272,-0.3240695,666.5714,666.8648,26542080,45116.24150001437,72.84715127944946,411994.16,90.9031286239624,90.9031286239624
3758.4688,2649.167,2849.9944,-1740.6936,-11010.772,-2273.9087,-2073.0845,-6663.7695,130.0,0.034612697,-0.309028,708.1912,708.4656,28016640,45176.48706139766,75.6804747581482,411835.06,94.48830533027649,94.48830533027649
3787.6462,2596.1616,2920.735,-1729.2483,-11212.349,-2403.8389,-2079.2646,-6729.2505,128.0,0.039106328,-0.2516303,709.3468,709.5593,29491200,45151.72626193255,78.51535129547119,410533.8,98.08497714996338,98.08497714996338
