eval/episode_reward,eval/episode_reward/agent1__cap1___dist,eval/episode_reward/agent2__cap1___dist,eval/episode_reward/cap1___goal,eval/episode_score,eval/episode_score/agent1__cap1___dist,eval/episode_score/agent2__cap1___dist,eval/episode_score/cap1___goal,eval/total_episodes,losses/entropy_loss,losses/policy_loss,losses/total_loss,losses/value_loss,num_steps,speed/eval_sps,speed/eval_walltime,speed/sps,speed/timestamp,speed/training_walltime
-19376.889,272.96237,253.11725,-19902.984,-16464.217,-4727.0415,-4746.886,-6990.3013,128.0,-0.094061,18.98105,22055.68,22036.791,2949120,45215.14335425605,24.09212565422058,91469.19,32.24657654762268,32.24657654762268
-17813.283,1141.9839,342.63354,-19297.922,-15445.174,-3858.0164,-4657.3667,-6929.7886,128.0,-0.07943018,-0.95760894,5102.36,5103.3975,5898240,45063.625665414875,26.93254542350769,415971.34,39.3409378528595,39.3409378528595
-16533.387,969.8049,704.14465,-18207.332,-14916.011,-3953.2754,-4218.934,-6743.808,130.0,-0.067595765,-1.1019555,6730.9033,6732.073,8847360,45467.21829884955,29.747752904891968,415808.34,46.4373505115509,46.4373505115509
-15867.427,747.3761,46.472015,-16661.275,-14785.3125,-3890.307,-4591.213,-6303.811,138.0,-0.05553429,-1.9194343,8089.5684,8091.544,11796480,44602.04677079969,32.61756896972656,416281.78,53.527148485183716,53.527148485183716
-10904.15,684.7993,195.53297,-11784.482,-10847.569,-2831.6829,-3320.9507,-4694.9336,182.0,-0.04294181,-1.9044244,11402.266,11404.213,14745600,44886.931894331996,35.46916842460632,415811.0,60.62414765357971,60.62414765357971
-4990.9653,367.68353,29.06952,-5387.7217,-5643.4463,-1466.1263,-1804.7407,-2372.5833,349.0,-0.028087303,-2.1260808,17662.68,17664.832,17694720,45350.0664914117,38.29164791107178,416550.72,67.70813846588135,67.70813846588135
-2264.6914,185.4421,48.355686,-2498.4885,-3143.0867,-856.9032,-993.98956,-1292.1947,614.0,-0.011215503,-2.3960605,25776.52,25778.926,20643840,44826.28036103434,41.14710760116577,415382.03,74.8129448890686,74.8129448890686
-993.5638,151.59724,63.150436,-1208.311,-1952.9918,-530.7058,-619.1525,-803.1343,938.0,0.007788827,-2.5911117,33557.242,33559.82,23592960,45161.16840939282,43.981391191482544,299773.25,84.66074061393738,84.66074061393738
-222.51506,117.2474,22.37289,-362.13522,-1244.9075,-332.1908,-427.06546,-485.65173,1424.0,0.028167024,-3.1609087,40971.11,40974.242,26542080,45308.766307693324,46.806443214416504,416421.25,91.74713945388794,91.74713945388794
181.39119,89.395485,31.426397,60.56924,-866.90955,-241.86742,-299.83633,-325.20575,1932.0,0.046791073,-3.9124386,44035.65,44039.52,29491200,44933.23065671939,49.655104637145996,415269.6,98.85382866859436,98.85382866859436
458.98352,67.05968,28.52629,363.39758,-606.8197,-179.18872,-217.72234,-209.9087,2599.0,0.065469705,-4.412258,44689.133,44693.484,32440320,44869.2250725999,52.50782895088196,415282.7,105.96115183830261,105.96115183830261
594.18774,57.599384,31.291595,505.29654,-486.80237,-151.14175,-177.44945,-158.21141,3066.0,0.08109437,-3.9706774,39987.516,39991.406,35389440,45481.90532829608,55.322126626968384,415043.66,113.07045602798462,113.07045602798462
652.6671,54.844822,28.840887,568.98157,-431.52597,-135.85846,-161.8624,-133.80507,3356.0,0.09691885,-2.8594666,34801.91,34804.668,38338560,45212.19234000467,58.153212785720825,416132.88,120.16538739204407,120.16538739204407
687.30585,51.27874,27.599886,608.4279,-399.15048,-128.34517,-152.02399,-118.78113,3563.0,0.10791203,-2.2654197,35376.438,35378.594,41287680,45463.776135042775,60.9686324596405,415948.2,127.25970339775085,127.25970339775085
709.9577,51.85882,27.988764,630.1105,-380.8732,-122.71835,-146.58841,-111.5662,3666.0,0.1159405,-1.6727304,33466.688,33468.246,44236800,45244.01124849477,63.797728300094604,415526.03,134.36121535301208,134.36121535301208
769.0484,49.624805,29.193628,690.22986,-333.72372,-110.896805,-131.32803,-91.49879,3987.0,0.12931928,-1.6245733,28123.844,28125.34,47185920,44917.711965734525,66.64737606048584,416421.34,141.44716429710388,141.44716429710388
834.3009,48.129215,30.482548,755.68823,-269.94113,-93.2448,-110.89147,-65.805115,4527.0,0.1456506,-0.5671809,20883.469,20883.889,50135040,45436.76132169997,69.46446824073792,416734.28,148.52882385253906,148.52882385253906
862.4214,48.493645,30.290781,783.63654,-245.19893,-85.62198,-103.824844,-55.752018,4772.0,0.1644428,-0.528605,14347.195,14347.559,53084160,44737.33014580293,72.32560443878174,415918.47,155.62341952323914,155.62341952323914
879.4854,48.08458,30.197449,801.20355,-227.83778,-80.662186,-98.54925,-48.626415,4971.0,0.17780606,-0.131642,9715.809,9715.762,56033280,45306.00187259201,75.15082788467407,415618.34,162.72375655174255,162.72375655174255
890.4164,48.898365,30.654625,810.8634,-217.68571,-77.20994,-95.453705,-45.022026,5075.0,0.19179484,-0.027393606,6428.102,6427.9375,58982400,44856.8123718934,78.00434017181396,414380.47,169.84630870819092,169.84630870819092
